sequence,time (ms)
turbokube-02d8,7866
turbokube-02d9,8674
turbokube-02da,9693
turbokube-02db,8393
turbokube-02dc,8742
turbokube-02dd,8537
turbokube-02de,8592
turbokube-02df,9059
turbokube-02e0,9538
turbokube-02e1,9495
turbokube-02e2,9190
turbokube-02e3,8538
turbokube-02e4,8743
turbokube-02e5,9227
turbokube-02e6,8692
turbokube-02e7,9439
turbokube-02e8,9792
turbokube-02e9,9622
turbokube-02ea,8889
turbokube-02eb,8894
turbokube-02ec,8240
turbokube-02ed,9086
turbokube-02ee,8589
turbokube-02ef,8393
turbokube-02f0,9891
turbokube-02f1,8589
turbokube-02f2,9993
turbokube-02f3,8689
turbokube-02f4,9289
turbokube-02f5,8384
turbokube-02f6,7744
turbokube-02f7,9140
turbokube-02f8,8392
turbokube-02f9,9369
turbokube-02fa,9340
turbokube-02fb,8841
turbokube-02fc,9394
turbokube-02fd,8693
turbokube-02fe,9339
turbokube-02ff,9542
turbokube-0300,8694
turbokube-0301,9041
turbokube-0302,10140
turbokube-0303,9444
turbokube-0304,9191
turbokube-0305,9089
turbokube-0306,8743
turbokube-0307,9190
turbokube-0308,9796
turbokube-0309,8990
turbokube-030a,9032
turbokube-030b,9342
turbokube-030c,9040
